budget,eps,target,goal,poison,target_loss_reinit,target_acc_reinit,target_loss_rerun,target_acc_rerun,brewed_loss,optim,iter,loss,tau,centreg,normreg,repel,init,pbatch,ens,vruns,pshuffle,paugment,step,full_data,stagger,maxepoch,nadapt,data_aug,epochs,lr,poison_loss,restarts,step_decay,ablation,benchmark_idx,target_mloss_reinit,target_macc_reinit,target_mloss_rerun,target_macc_rerun,target_clean_loss_reinit,target_clean_acc_reinit,target_clean_loss_rerun,target_clean_acc_rerun,train_time,brew_time,test_time,train_loss_reinit,val_loss_reinit,train_acc_reinit,val_acc_reinit,train_loss_rerun,val_loss_rerun,train_acc_rerun,val_acc_rerun,train_loss_clean,val_loss_clean,train_acc_clean,val_acc_clean,poisonkey,modelkey,net,vnet,ARG_net,ARG_dataset,ARG_recipe,ARG_threatmodel,ARG_scenario,ARG_poisonkey,ARG_modelkey,ARG_deterministic,ARG_eps,ARG_budget,ARG_targets,ARG_patch_size,ARG_name,ARG_table_path,ARG_poison_path,ARG_data_path,ARG_modelsave_path,ARG_mixing_method,ARG_mixing_disable_correction,ARG_mixing_strength,ARG_disable_adaptive_attack,ARG_defend_features_only,ARG_gradient_noise,ARG_gradient_clip,ARG_defense_type,ARG_defense_strength,ARG_defense_steps,ARG_defense_targets,ARG_filter_defense,ARG_padversarial,ARG_pmix,ARG_attackoptim,ARG_attackiter,ARG_init,ARG_tau,ARG_scheduling,ARG_target_criterion,ARG_restarts,ARG_load_patch,ARG_pbatch,ARG_pshuffle,ARG_paugment,ARG_data_aug,ARG_full_data,ARG_ensemble,ARG_stagger,ARG_step,ARG_max_epoch,ARG_ablation,ARG_loss,ARG_centreg,ARG_normreg,ARG_repel,ARG_nadapt,ARG_clean_grad,ARG_vruns,ARG_vnet,ARG_retrain_from_init,ARG_skip_clean_training,ARG_pretrained_model,ARG_pretrain_dataset,ARG_optimization,ARG_epochs,ARG_lr,ARG_noaugment,ARG_lmdb_path,ARG_cache_dataset,ARG_benchmark,ARG_benchmark_idx,ARG_dryrun,ARG_save,ARG_local_rank,val_acc_base_clean,val_acc_target_clean,val_acc_base_rerun,val_acc_target_rerun,val_acc_base_reinit,val_acc_target_reinit
0.01,8.0,Industrial Buildings,Residential Buildings,Residential Buildings,0.2781628370285034,1.0,,,0.49679678678512573,signAdam,250,similarity,0.1,0,0,0,randn,512,1,1,False,True,False,False,,,2,default,100,0.01,cross-entropy,8,True,1.0,0,13.50084708094575,0.04,,,5.309605598449707,0.0,,,0:39:08.844734,0:19:50.182679,0:39:34.425362,0.04893575583032467,25.557532785206856,0.9820987654320987,0.1974439711057603,,,,,0.05084440177712134,52.38385005201869,0.9831481481481481,0.2037414335988146,4254525452,1079539030,HG,,['HG'],EUROSAT,gradient-matching,single-class,from-scratch,,,False,8.0,0.01,1,8,,tables/,poisons/,~/data,./models/,,True,,True,False,,,,,,,,,False,signAdam,250,randn,0.1,True,cross-entropy,8,,512,False,True,default,False,1,,False,,1.0,similarity,0,0,0,2,False,1,,False,False,False,,custom,,,False,,False,,0,False,,,0.01444043321299639,0.094,,,0.3194945848375451,0.324
0.01,16.0,Residential Buildings,Industrial Buildings,Industrial Buildings,0.0,1.0,,,0.5488036870956421,signAdam,250,similarity,0.1,0,0,0,randn,512,1,1,False,True,False,False,,,2,default,100,0.01,cross-entropy,5,True,1.0,0,2.7264086032472505,0.84,,,89.40348815917969,0.0,,,0:39:18.486939,0:12:44.066543,0:40:05.436158,0.054683142829963394,55.4012036228321,0.9826543209876544,0.16151139099833303,,,,,0.04634822854440777,114.37998109710026,0.9845679012345679,0.13984071124282274,870270025,1487189952,HG,,['HG'],EUROSAT,gradient-matching,single-class,from-scratch,,,False,16.0,0.01,1,8,,tables/,poisons/,~/data,./models/,,True,,True,False,,,,,,,,,False,signAdam,250,randn,0.1,True,cross-entropy,5,,512,False,True,default,False,1,,False,,1.0,similarity,0,0,0,2,False,1,,False,False,False,,custom,100,,False,,False,,0,False,only_modified,,0.015968063872255488,0.028933092224231464,,,0.688622754491018,0.007233273056057866
0.01,8.0,Annual Crop,River,River,0.4150628447532654,1.0,,,0.11490899324417114,signAdam,250,similarity,0.1,0,0,0,randn,512,1,1,False,True,False,False,,,2,default,50,0.01,cross-entropy,5,True,1.0,0,2.980158540010452,0.02,,,1.13934326171875,0.0,,,0:00:00.067279,0:14:20.356188,0:27:37.163337,0.09868276952911832,0.10252325274015965,0.9680246913580247,0.9712909798110761,,,,,,,,,2724111372,3405621300,HG,,['HG'],EUROSAT,gradient-matching,single-class,from-scratch,2724111372,,False,8.0,0.01,1,8,,tables/,poisons/,~/data,./models/,,True,,True,False,,,,,,,,,False,signAdam,250,randn,0.1,True,cross-entropy,5,,512,False,True,default,False,1,,False,,1.0,similarity,0,0,0,2,False,1,,False,False,True,,custom,50,,False,,False,,0,False,only_modified,,,,,,0.9659735349716446,0.9697478991596639
